번호,분류,문제번호,Tier,문제 제목,문제 URL,제출 횟수,정답률,,,,,,,,,,,,,,,,,
1,브루트 포스 - 재귀,6603,,로또,https://www.acmicpc.net/problem/6603,65534,55,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/6603
2,브루트 포스 - 재귀,1182,,부분수열의 합,https://www.acmicpc.net/problem/1182,97099,43,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1182
3,브루트 포스 - 재귀,14225,,부분수열의 합,https://www.acmicpc.net/problem/14225,13325,44,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14225
4,브루트 포스 - 재귀,14888,,연산자 끼워넣기,https://www.acmicpc.net/problem/14888,116920,47,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14888
5,브루트 포스 - 재귀,15658,,연산자 끼워넣기 (2),https://www.acmicpc.net/problem/15658,9772,52,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/15658
6,브루트 포스 - 재귀,14500,,테트로미노,https://www.acmicpc.net/problem/14500,101413,36,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14500
7,브루트 포스 - 재귀,16197,,두 동전,https://www.acmicpc.net/problem/16197,12439,41,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16197
8,브루트 포스 - 재귀,16198,,에너지 모으기,https://www.acmicpc.net/problem/16198,6371,76,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16198
9,브루트 포스 - 재귀,9663,,N-Queen,https://www.acmicpc.net/problem/9663,129084,46,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/9663
10,브루트 포스 - 재귀,2580,,스도쿠,https://www.acmicpc.net/problem/2580,108964,27,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2580
11,브루트 포스 - 재귀,4574,,스도미노쿠,https://www.acmicpc.net/problem/4574,2778,45,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/4574
12,브루트 포스 - 순열,2529,,부등호,https://www.acmicpc.net/problem/2529,30163,57,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2529
13,브루트 포스 - 순열,1339,,단어 수학,https://www.acmicpc.net/problem/1339,38858,46,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1339
14,브루트 포스 - 순열,14888,,연산자 끼워넣기,https://www.acmicpc.net/problem/14888,116920,47,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14888
15,브루트 포스 - 순열,14889,,스타트와 링크,https://www.acmicpc.net/problem/14889,109739,46,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14889
16,브루트 포스 - 비트마스크,14225,,부분수열의 합,https://www.acmicpc.net/problem/14225,13325,44,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14225
17,브루트 포스 - 비트마스크,1062,,가르침,https://www.acmicpc.net/problem/1062,56616,26,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1062
18,브루트 포스 - 비트마스크,13460,,구슬 탈출 2,https://www.acmicpc.net/problem/13460,99189,28,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/13460
19,브루트 포스 - 비트마스크,12100,,2048 (Easy),https://www.acmicpc.net/problem/12100,99414,26,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/12100
20,브루트 포스 - 기타,2003,,수들의 합 2,https://www.acmicpc.net/problem/2003,63448,48,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2003
21,브루트 포스 - 기타,1806,,부분합,https://www.acmicpc.net/problem/1806,113733,26,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1806
22,브루트 포스 - 기타,1644,,소수의 연속합,https://www.acmicpc.net/problem/1644,53767,41,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1644
23,브루트 포스 - 기타,1208,,부분수열의 합 2,https://www.acmicpc.net/problem/1208,31434,25,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1208
24,브루트 포스 - 기타,2143,,두 배열의 합,https://www.acmicpc.net/problem/2143,33306,32,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2143
25,그래프 알고리즘,16929,,Two Dots,https://www.acmicpc.net/problem/16929,11599,44,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16929
26,그래프 알고리즘,16947,,서울 지하철 2호선,https://www.acmicpc.net/problem/16947,8986,43,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16947
27,그래프 알고리즘,12946,,육각 보드,https://www.acmicpc.net/problem/12946,2104,26,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/12946
28,그래프 알고리즘,16940,,BFS 스페셜 저지,https://www.acmicpc.net/problem/16940,11266,25,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16940
29,그래프 알고리즘,16964,,DFS 스페셜 저지,https://www.acmicpc.net/problem/16964,7031,35,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16964
30,BFS 알고리즘,16928,,뱀과 사다리 게임,https://www.acmicpc.net/problem/16928,49408,34,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16928
31,BFS 알고리즘,16948,,데스 나이트,https://www.acmicpc.net/problem/16948,8088,69,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16948
32,BFS 알고리즘,14502,,연구소,https://www.acmicpc.net/problem/14502,110541,55,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14502
33,BFS 알고리즘,12886,,돌 그룹,https://www.acmicpc.net/problem/12886,13777,29,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/12886
34,BFS 알고리즘,2206,,벽 부수고 이동하기,https://www.acmicpc.net/problem/2206,159461,23,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2206
35,BFS 알고리즘,16946,,벽 부수고 이동하기 4,https://www.acmicpc.net/problem/16946,27942,25,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16946
36,BFS 알고리즘,14442,,벽 부수고 이동하기 2,https://www.acmicpc.net/problem/14442,35339,27,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/14442
37,BFS 알고리즘,16933,,벽 부수고 이동하기 3,https://www.acmicpc.net/problem/16933,20217,23,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16933
38,BFS 알고리즘,16954,,움직이는 미로 탈출,https://www.acmicpc.net/problem/16954,15872,28,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16954
39,BFS 알고리즘,16236,,아기 상어,https://www.acmicpc.net/problem/16236,75351,44,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/16236
40,BFS 알고리즘,6087,,레이저 통신,https://www.acmicpc.net/problem/6087,22683,23,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/6087
41,BFS 알고리즘,1963,,소수 경로,https://www.acmicpc.net/problem/1963,16237,60,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1963
